OrderID,Date,Product,Region,Price,Quantity,Revenue,Category
1008,1/22/2025,Mouse,North,800,4,3200,
1146,1/22/2025,Headphones,North,3000,3,9000,
1128,1/22/2025,Tablet,South,25000,2,50000,
1181,1/22/2025,Laptop,North,50000,3,150000,
1046,1/23/2025,Headphones,East,3000,1,3000,
1003,1/23/2025,Keyboard,East,1500,3,4500,
1154,1/23/2025,Headphones,South,3000,2,6000,
1025,1/23/2025,Tablet,West,25000,1,25000,
1140,1/23/2025,Tablet,East,25000,1,25000,
1109,1/24/2025,Headphones,North,3000,1,3000,
1037,1/24/2025,Tablet,North,25000,3,75000,
1089,1/24/2025,Laptop,West,50000,3,150000,
1174,1/24/2025,Laptop,West,50000,3,150000,
1031,1/24/2025,Laptop,North,50000,4,200000,
1028,1/25/2025,Mouse,West,800,4,3200,
1172,1/25/2025,Monitor,North,12000,1,12000,
1015,1/25/2025,Monitor,West,12000,2,24000,
1053,1/25/2025,Monitor,East,12000,2,24000,
1152,1/26/2025,Mouse,West,800,1,800,
1023,1/26/2025,Mouse,West,800,2,1600,
1076,1/26/2025,Keyboard,East,1500,3,4500,
1167,1/26/2025,Laptop,West,50000,1,50000,
1102,1/27/2025,Keyboard,South,1500,1,1500,
1117,1/27/2025,Mouse,South,800,2,1600,
1065,1/28/2025,Mouse,South,800,3,2400,
1010,1/28/2025,Mouse,West,800,4,3200,
1138,1/28/2025,Keyboard,South,1500,3,4500,
1035,1/28/2025,Laptop,East,50000,1,50000,
1047,1/29/2025,Keyboard,West,1500,1,1500,
1107,1/29/2025,Tablet,South,25000,1,25000,
1001,1/29/2025,Monitor,East,12000,3,36000,#NAME?
1006,1/30/2025,Monitor,South,12000,2,24000,
1150,1/30/2025,Laptop,South,50000,2,100000,
1156,1/31/2025,Monitor,South,12000,2,24000,
1044,2/1/2025,Keyboard,East,1500,1,1500,
1116,2/1/2025,Mouse,East,800,2,1600,
1066,2/1/2025,Headphones,North,3000,1,3000,
1068,2/1/2025,Mouse,South,800,4,3200,
1134,2/1/2025,Headphones,West,3000,2,6000,
1045,2/1/2025,Monitor,West,12000,2,24000,
1177,2/1/2025,Tablet,North,25000,4,100000,
1153,2/2/2025,Monitor,South,12000,2,24000,
1111,2/2/2025,Monitor,West,12000,3,36000,
1103,2/2/2025,Tablet,West,25000,3,75000,
1036,2/3/2025,Monitor,North,12000,4,48000,
1126,2/3/2025,Monitor,South,12000,4,48000,
1161,2/4/2025,Mouse,West,800,1,800,
1033,2/4/2025,Keyboard,North,1500,3,4500,
1091,2/4/2025,Monitor,West,12000,2,24000,
1094,2/4/2025,Tablet,West,25000,1,25000,
1108,2/4/2025,Tablet,West,25000,1,25000,
1092,2/4/2025,Laptop,North,50000,1,50000,
1179,2/4/2025,Laptop,North,50000,2,100000,
1175,2/4/2025,Laptop,West,50000,4,200000,
1024,2/5/2025,Mouse,South,800,3,2400,
1004,2/5/2025,Headphones,West,3000,4,12000,
1173,2/5/2025,Laptop,South,50000,1,50000,
1095,2/5/2025,Laptop,North,50000,4,200000,
1123,2/5/2025,Laptop,North,50000,4,200000,
1139,2/6/2025,Mouse,South,800,1,800,
1148,2/6/2025,Keyboard,South,1500,1,1500,
1131,2/6/2025,Monitor,North,12000,4,48000,
1063,2/6/2025,Laptop,North,50000,4,200000,
1133,2/8/2025,Headphones,West,3000,2,6000,
1145,2/8/2025,Headphones,West,3000,3,9000,
1189,2/8/2025,Laptop,North,50000,1,50000,
1062,2/8/2025,Tablet,South,25000,3,75000,
1020,2/9/2025,Mouse,West,800,2,1600,
1079,2/9/2025,Mouse,North,800,3,2400,
1038,2/9/2025,Monitor,South,12000,3,36000,
1026,2/9/2025,Tablet,North,25000,4,100000,
1183,2/10/2025,Headphones,East,3000,4,12000,
1078,2/10/2025,Monitor,North,12000,4,48000,
1043,2/11/2025,Mouse,West,800,1,800,
1049,2/11/2025,Mouse,North,800,2,1600,
1034,2/11/2025,Headphones,East,3000,2,6000,
1120,2/11/2025,Headphones,East,3000,2,6000,
1081,2/11/2025,Tablet,East,25000,3,75000,
1114,2/11/2025,Laptop,East,50000,2,100000,
1164,2/12/2025,Mouse,West,800,1,800,
1192,2/12/2025,Headphones,East,3000,2,6000,
1119,2/12/2025,Laptop,South,50000,4,200000,
1051,2/13/2025,Monitor,West,12000,4,48000,
1029,2/14/2025,Monitor,North,12000,1,12000,
1158,2/14/2025,Headphones,West,3000,4,12000,
1101,2/14/2025,Tablet,East,25000,2,50000,
1093,2/15/2025,Mouse,South,800,2,1600,
1100,2/15/2025,Tablet,South,25000,2,50000,
1011,2/16/2025,Samsung Tablet,South,25000,3,75000,
1159,2/18/2025,Mouse,West,800,4,3200,
1176,2/18/2025,Mouse,East,800,4,3200,
1182,2/18/2025,Keyboard,West,1500,4,6000,
1129,2/18/2025,Tablet,West,25000,2,50000,
1009,2/18/2025,Apple Laptop,East,50000,3,150000,
1180,2/18/2025,Laptop,South,50000,4,200000,
1121,2/19/2025,Keyboard,North,1500,4,6000,
1136,2/19/2025,Headphones,West,3000,2,6000,
1196,2/19/2025,Laptop,East,50000,2,100000,
1166,2/20/2025,Mouse,South,800,3,2400,
1169,2/20/2025,Mouse,North,800,3,2400,
1032,2/20/2025,Keyboard,North,1500,4,6000,
1048,2/20/2025,Keyboard,South,1500,4,6000,
1127,2/20/2025,Tablet,North,25000,2,50000,
1162,2/20/2025,Laptop,East,50000,1,50000,
1058,2/20/2025,Laptop,South,50000,4,200000,
1071,2/21/2025,Headphones,South,3000,2,6000,
1083,2/21/2025,Laptop,West,50000,1,50000,
1187,2/21/2025,Laptop,East,50000,1,50000,
1060,2/21/2025,Laptop,North,50000,2,100000,
1144,2/22/2025,Headphones,North,3000,4,12000,
1141,2/22/2025,Monitor,North,12000,2,24000,
1188,2/22/2025,Monitor,East,12000,4,48000,
1110,2/22/2025,Tablet,East,25000,3,75000,
1050,2/22/2025,Laptop,South,50000,4,200000,
1059,2/23/2025,Keyboard,West,1500,4,6000,
1143,2/23/2025,Tablet,West,25000,1,25000,
1022,2/23/2025,Monitor,North,12000,3,36000,
1086,2/24/2025,Keyboard,North,1500,1,1500,
1041,2/24/2025,Mouse,East,800,2,1600,
1135,2/24/2025,Keyboard,West,1500,4,6000,
1012,2/24/2025,Monitor,West,12000,4,48000,
1069,2/24/2025,Monitor,East,12000,4,48000,
1178,2/24/2025,Laptop,North,50000,3,150000,
1097,2/25/2025,Monitor,West,12000,4,48000,
1080,2/26/2025,Monitor,North,12000,2,24000,
1055,2/26/2025,Tablet,West,25000,1,25000,
1157,2/27/2025,Keyboard,West,1500,1,1500,
1016,2/27/2025,Mouse,North,800,2,1600,
1190,2/27/2025,Mouse,East,800,2,1600,
1170,2/27/2025,Monitor,North,12000,2,24000,
1061,2/27/2025,Laptop,West,50000,4,200000,
1099,2/28/2025,Monitor,East,12000,2,24000,
1064,2/28/2025,Laptop,North,50000,2,100000,
1122,3/1/2025,Headphones,South,3000,3,9000,
1132,3/1/2025,Headphones,West,3000,4,12000,
1075,3/1/2025,Monitor,East,12000,4,48000,
